                     title                     |                                                                                         body                                                                                         
-----------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 They're not exactly dogs, are they?           | Oh, I've got compassion running out of my nose, pal! I'm the Sultan of Sentiment!
 Living in the shadow of a great man           | The beautiful thing about treasure is that it exists. Got to find out what kind of sheets these are; not cotton, not rayon, silky.
 Living in the shadow of a great man           | Replacing the quiet elegance of the dark suit and tie with the casual indifference of these muted earth tones is a form of fashion suicide, but, uh, call me crazy — onyou it works.
 Living in the shadow of a great man           |  I carry a log — yes. Is it funny to you? It is not to me.
 Living in the shadow of a great man           | I hate streaming noses
 Living in the shadow of a great man           | I hate streaming eyes even more
 Living in the shadow of a great man           | Lobster pot
 Living in the shadow of a great man           | Delicious crackerbreads
 Living in the shadow of a great man           | Superficially charming
 Eight pug gifs that remind me of mitch        | git push origin master
 Eight pug gifs that remind me of mitch        | Ambidextrous marsupial
 Living in the shadow of a great man           | Massive intercranial brain haemorrhage
 Living in the shadow of a great man           | Fruit pastilles
 UNCOVERED: catspiracy to bring down democracy | What do you see? I have no idea where this will lead us. This place I speak of, is known as the Black Lodge.
 UNCOVERED: catspiracy to bring down democracy | I am 100% sure that we're not completely sure.
 A                                             | This is a bad article name
 They're not exactly dogs, are they?           | The owls are not what they seem.
 Living in the shadow of a great man           | This morning, I showered for nine minutes.
(18 rows)

